commodity,msha_name,series,year,quarter,units,production,region,datastream price,bloomberg price,bloomberg * 100
platinum,Platinum Group Ore,USCPTSMY,2003,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2003,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2004,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2004,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2004,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2004,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2005,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2005,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2005,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2005,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2006,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2006,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2006,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2006,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2007,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2007,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2007,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2007,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2008,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2008,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2008,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2008,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2009,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2009,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2009,3,"Volumes, not seasonally adjusted",,US,,,
