commodity,msha_name,series,year,quarter,units,price
uranium,Uranium Ore,WDI76UMZA,2004,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2004,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2005,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2005,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2005,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2005,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2006,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2006,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2006,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2006,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2007,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2007,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2007,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2007,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2008,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2008,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2008,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2008,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2009,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2009,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2009,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2009,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2010,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2010,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2010,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2010,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2011,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2011,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2011,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2011,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2012,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2012,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2012,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2012,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2013,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2013,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2013,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2013,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2014,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2014,2,$/lb,
uranium,Uranium Ore,WDI76UMZA,2014,3,$/lb,
uranium,Uranium Ore,WDI76UMZA,2014,4,$/lb,
uranium,Uranium Ore,WDI76UMZA,2015,1,$/lb,
uranium,Uranium Ore,WDI76UMZA,2015,2,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1983,1,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1983,2,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1983,3,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1983,4,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1984,1,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1984,2,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1984,3,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1984,4,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1985,1,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1985,2,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1985,3,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1985,4,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1986,1,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1986,2,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1986,3,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1986,4,$/lb,
uranium,Uranium-Vanadium Ore,WDI76UMZA,1987,1,$/lb,
